#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-01-27T22:19:12 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ54c7defe3919	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/194/42&tab:{J/ApJS/194/42/table3}&key:source=J/ApJS/194/42&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/194/42/table3
#-order=I
#-out=SDSS
#-out=z
#-out=LL(b)
#-out=st(a)
#-out=MBH(ab)
#-out=e_MBH(ab)
#DR3+7=DR3+7
#Sloan=Sloan
#Simbad=Simbad
#NED=NED
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_21940042
#Name: J/ApJS/194/42
#Title: SDSS-DR3 MgII-based black hole masses (Rafiee+, 2011)
#Table	J_ApJS_194_42_table3:
#Name: J/ApJS/194/42/table3
#Title: Catalog of virial mass measurements
#Column	SDSS	(A18)	SDSS designation (HHMMSS.ss+DDMMSS.s; J2000)	[ucd=meta.id;meta.main]
#Column	z	(F7.4)	Redshift (spectroscopic)	[ucd=src.redshift]
#Column	LL(b)	(E8.1)	? Monochromatic 3000{AA} luminosity; in 10^44^erg/s units (2)	[ucd=meta.unit]
#Column	st(a)	(F5.1)	? Intrinsic {sigma}(MgII); in Angstrom (4)	[ucd=stat.error]
#Column	MBH(ab)	(E9.2)	? BH mass, after PCA and before RPC (4)	[ucd=phys.mass]
#Column	e_MBH(ab)	(E9.2)	? Error in MBH(ab) (4)	[ucd=stat.error]
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
SDSS;z;LL(b);st(a);MBH(ab);e_MBH(ab);RAJ2000;DEJ2000
001927.87+003359.9; 1.6234; 5.7e+01; 19.0; 9.24e+08; 1.95e+08;004.86615;+00.56665
001937.04-091730.7; 1.4733; 4.1e+01; 17.5; 6.73e+08; 1.42e+08;004.90435;-09.29186
001946.60-092635.1; 1.6734; 5.3e+01; 19.7; 9.91e+08; 2.09e+08;004.94418;-09.44311
001946.72-103156.6; 1.6136; 2.6e+01; 25.5; 1.11e+09; 2.34e+08;004.94469;-10.53240
001946.99-105313.3; 1.5177; 7.4e+01; 23.2; 1.59e+09; 3.34e+08;004.94579;-10.88705
001954.96+153309.1; 1.6724; 7.0e+01; 19.6; 1.15e+09; 2.42e+08;004.97900;+15.55254
001957.81+011153.4; 1.1299; 8.0e+01; 19.2; 1.14e+09; 2.41e+08;004.99091;+01.19817
001959.48-090809.4; 1.7928; 5.0e+01; 21.5; 1.11e+09; 2.33e+08;004.99786;-09.13597
002000.50+155110.0; 1.7510; 5.5e+01; 14.9; 5.92e+08; 1.25e+08;005.00208;+15.85278
002001.80+005436.8; 1.0130; 2.4e+01; 28.9; 1.40e+09; 2.94e+08;005.00754;+00.91023
002018.74-104851.3; 1.6393; 1.0e+02; 21.5; 1.62e+09; 3.40e+08;005.07809;-10.81426
002023.18-001110.6; 1.6427; 7.9e+01; 15.9; 7.89e+08; 1.66e+08;005.09659;-00.18630
002023.36-091515.4; 1.4225; 2.8e+01; 20.4; 7.55e+08; 1.59e+08;005.09736;-09.25430
002028.34-002914.9; 1.9269; 9.7e+01; 17.7; 1.10e+09; 2.31e+08;005.11809;-00.48749
002028.96+153435.8; 1.7644; 1.1e+02; 17.5; 1.14e+09; 2.41e+08;005.12070;+15.57663
002032.36-103414.5; 0.8077; 3.3e+01; 25.2; 1.27e+09; 2.67e+08;005.13484;-10.57071
002042.83+143902.0; 1.3651; 1.7e+02; 18.8; 1.64e+09; 3.46e+08;005.17849;+14.65058
002056.80+001147.5; 1.1099; 6.4e+01; 19.1; 1.02e+09; 2.14e+08;005.23670;+00.19654
002101.28-102037.5; 1.2800; 2.8e+01; 19.2; 6.84e+08; 1.44e+08;005.25537;-10.34377
002113.77+135307.9; 0.9316; 3.7e+01; 18.9; 7.45e+08; 1.57e+08;005.30739;+13.88553
002116.28-101520.8; 1.4046; 5.2e+01; 23.6; 1.41e+09; 2.97e+08;005.31787;-10.25578
002118.94+144258.1; 1.0147; 1.9e+01; 14.9; 3.33e+08; 7.01e+07;005.32894;+14.71614
002123.50+135453.1; 1.1719; 2.8e+01; 25.0; 1.17e+09; 2.47e+08;005.34793;+13.91477
002127.88+010420.2; 1.8194; 1.4e+02; 23.9; 2.37e+09; 4.99e+08;005.36618;+01.07228
002128.60-110701.5; 1.0770; 5.8e+01; 21.0; 1.19e+09; 2.50e+08;005.36919;-11.11709
002130.87-011109.3; 0.7861; 1.9e+01; 17.7; 4.75e+08; 1.00e+08;005.37865;-01.18593
002132.63-092424.3; 1.8698; 9.2e+01; 21.8; 1.58e+09; 3.33e+08;005.38596;-09.40675
002133.27+004301.0; 1.2445; 1.5e+02; 16.9; 1.22e+09; 2.56e+08;005.38865;+00.71695
002140.66+161000.7; 1.5999; 4.8e+01; 19.1; 8.61e+08; 1.81e+08;005.41943;+16.16686
002143.29+010840.2; 1.9012; 6.8e+01; 18.7; 1.04e+09; 2.20e+08;005.43040;+01.14451
002149.93+160208.7; 0.8377; 3.1e+01; 20.6; 8.21e+08; 1.73e+08;005.45808;+16.03576
002152.61-090516.8; 1.4787; 1.2e+02; 25.3; 2.46e+09; 5.17e+08;005.46922;-09.08800
002201.85+154609.4; 1.3916; 3.9e+01; 22.2; 1.07e+09; 2.25e+08;005.50773;+15.76930
002232.38-085314.3; 1.0078; 2.4e+01; 20.0; 6.70e+08; 1.41e+08;005.63493;-08.88731
002239.53-010741.2; 1.5545; 4.8e+01; 20.8; 1.04e+09; 2.19e+08;005.66474;-01.12812
002256.21-110105.0; 1.4422; 4.1e+01; 20.9; 1.01e+09; 2.13e+08;005.73424;-11.01806
002302.55+153446.4; 1.7235; 8.0e+01; 19.8; 1.25e+09; 2.63e+08;005.76063;+15.57957
002304.18+140808.3; 0.9726; 1.9e+01; 21.2; 6.67e+08; 1.40e+08;005.76744;+14.13565
002315.58-111059.8; 0.9774; 2.0e+01; 18.3; 5.27e+08; 1.11e+08;005.81492;-11.18330
002315.76-103433.9; 1.1013; 2.3e+01; 17.6; 5.29e+08; 1.11e+08;005.81570;-10.57610
002321.07-110130.1; 1.0594; 2.2e+01; 19.0; 5.91e+08; 1.25e+08;005.83780;-11.02504
002334.06-092624.3; 0.7886; 8.7e+00; 22.2; 5.12e+08; 1.08e+08;005.89195;-09.44009
002335.94+001227.9; 0.7894; 1.2e+01; 17.0; 3.60e+08; 7.59e+07;005.89978;+00.20777
002339.97+141307.8; 0.9786; 4.2e+01; 12.4; 3.46e+08; 7.29e+07;005.91657;+14.21884
002342.36+002041.8; 1.0179; 2.7e+01; 20.4; 7.48e+08; 1.58e+08;005.92654;+00.34495
002342.97+010242.9; 1.6355; 1.1e+02; 18.8; 1.31e+09; 2.75e+08;005.92905;+01.04526
002344.35+143115.4; 1.8660; 1.8e+02; 22.6; 2.39e+09; 5.03e+08;005.93482;+14.52095
002346.04-100658.1; 1.6916; 8.9e+01; 17.3; 9.89e+08; 2.08e+08;005.94185;-10.11615
002346.09-000729.3; 1.3095; 2.0e+01; 21.0; 6.97e+08; 1.47e+08;005.94205;-00.12481
002350.27+151855.0; 0.7901; 1.5e+01; 16.9; 3.96e+08; 8.35e+07;005.95948;+15.31529
002355.15+141900.9; 1.1161; 3.5e+01; 20.5; 8.95e+08; 1.89e+08;005.97979;+14.31692
002356.61+154404.8; 1.3334; 5.0e+01; 27.2; 1.83e+09; 3.86e+08;005.98588;+15.73468
002410.43-103633.5; 0.8318; 1.5e+01; 22.2; 6.63e+08; 1.40e+08;006.04349;-10.60931
002411.65-004348.0; 1.7945; 1.8e+02; 17.4; 1.42e+09; 2.99e+08;006.04857;-00.73002
002412.14+144156.8; 1.4288; 8.8e+01; 18.4; 1.11e+09; 2.34e+08;006.05060;+14.69913
002425.37-100445.0; 1.6988; 5.7e+01; 19.0; 9.64e+08; 2.03e+08;006.10573;-10.07918
002437.62+142025.4; 1.7643; 1.9e+02; 20.0; 1.98e+09; 4.18e+08;006.15678;+14.34040
002439.64-091600.6; 1.7930; 1.0e+02; 19.5; 1.35e+09; 2.84e+08;006.16517;-09.26685
002445.56-095729.2; 1.5125; 4.4e+01; 19.7; 9.07e+08; 1.91e+08;006.18986;-09.95812
002446.76-100924.7; 0.9681; 3.9e+01; 16.1; 5.63e+08; 1.19e+08;006.19486;-10.15687
002448.07-090055.1; 1.8586; 1.0e+02; 17.9; 1.13e+09; 2.38e+08;006.20031;-09.01531
002455.46+142348.3; 0.9879; 3.4e+01; 16.8; 5.89e+08; 1.24e+08;006.23110;+14.39677
002455.49+145507.3; 1.7528; 7.0e+01; 18.5; 9.91e+08; 2.09e+08;006.23124;+14.91870
002517.71-111204.6; 1.0831; 3.1e+01; 17.6; 6.06e+08; 1.28e+08;006.32382;-11.20130
002520.38+145452.7; 1.5207; 7.8e+01; 18.1; 1.03e+09; 2.17e+08;006.33494;+14.91465
002537.29+002724.3; 1.9096; 1.3e+02; 23.2; 2.21e+09; 4.65e+08;006.40541;+00.45677
002538.73+143620.3; 1.3114; 2.6e+02; 17.3; 1.69e+09; 3.57e+08;006.41138;+14.60565
002540.18-001531.3; 1.3542; 1.1e+02; 18.1; 1.20e+09; 2.52e+08;006.41745;-00.25871
002553.11-091252.1; 1.2141; 1.6e+02; 22.9; 2.30e+09; 4.84e+08;006.47133;-09.21450
002600.97-100459.5; 1.3171; 6.5e+01; 19.0; 1.05e+09; 2.20e+08;006.50404;-10.08320
002607.85+160323.7; 1.2586; 4.5e+01; 21.4; 1.08e+09; 2.28e+08;006.53275;+16.05660
002616.79-090249.3; 1.7488; 4.6e+01; 14.6; 5.21e+08; 1.10e+08;006.56997;-09.04705
002617.64-093858.0; 1.5057; 6.2e+01; 17.7; 8.83e+08; 1.86e+08;006.57352;-09.64945
002620.09-093453.2; 1.0668; 1.8e+01; 18.3; 4.92e+08; 1.04e+08;006.58372;-09.58145
002621.66+153232.0; 0.8975; 2.5e+01; 22.1; 8.55e+08; 1.80e+08;006.59028;+15.54222
002623.78+135523.5; 1.3126; 5.7e+01; 17.8; 8.27e+08; 1.74e+08;006.59912;+13.92320
002631.79-100313.5; 0.9547; 2.6e+01; 19.7; 6.82e+08; 1.44e+08;006.63246;-10.05376
002642.09-095853.3; 1.8575; 8.0e+01; 17.3; 9.46e+08; 1.99e+08;006.67542;-09.98150
002648.27-090511.5; 1.3103; 5.8e+01; 18.6; 9.29e+08; 1.96e+08;006.70115;-09.08655
002651.44-111252.4; 1.1150; 2.3e+01; 19.5; 6.40e+08; 1.35e+08;006.71434;-11.21456
002651.69-003128.3; 1.6482; 8.6e+01; 18.0; 1.05e+09; 2.21e+08;006.71541;-00.52453
002707.16+144957.5; 1.7083; 1.1e+02; 21.1; 1.68e+09; 3.54e+08;006.77984;+14.83266
002721.20+143858.5; 1.3090; 5.2e+01; 19.1; 9.38e+08; 1.98e+08;006.83835;+14.64960
002723.43-001613.3; 1.7137; 7.0e+01; 18.1; 9.98e+08; 2.10e+08;006.84766;-00.27036
002747.02-102558.1; 1.6652; 5.8e+01; 17.3; 7.89e+08; 1.66e+08;006.94594;-10.43283
002755.22-105000.7; 1.6759; 9.9e+01; 20.1; 1.40e+09; 2.94e+08;006.98010;-10.83354
002800.29+151624.5; 1.2159; 4.0e+01; 17.4; 6.76e+08; 1.42e+08;007.00123;+15.27347
002800.41-102049.8; 1.2596; 3.5e+01; 21.4; 9.83e+08; 2.07e+08;007.00173;-10.34717
002803.32-092530.6; 0.8502; 1.4e+01; 19.1; 4.64e+08; 9.78e+07;007.01385;-09.42519
002819.11+155005.0; 1.1558; 4.5e+01; 21.5; 1.08e+09; 2.28e+08;007.07963;+15.83472
002827.39+144340.3; 1.2575; 2.8e+01; 18.2; 6.18e+08; 1.30e+08;007.11414;+14.72786
002855.51+010030.0; 1.4341; 9.8e+01; 18.8; 1.23e+09; 2.60e+08;007.23131;+01.00836
002855.94+001400.2; 1.6052; 1.0e+02; 18.2; 1.17e+09; 2.47e+08;007.23311;+00.23339
002856.86+151231.3; 1.8696; 5.3e+01; 19.5; 9.47e+08; 2.00e+08;007.23694;+15.20871
002857.67+150804.3; 1.8354; 3.8e+01; 12.0; 3.10e+08; 6.54e+07;007.24031;+15.13454
002858.98+145300.3; 1.9432; 2.7e+01; 17.7; 5.69e+08; 1.20e+08;007.24578;+14.88342
002900.65+135709.6; 1.5840; 2.5e+01; 18.7; 6.02e+08; 1.27e+08;007.25274;+13.95268
002901.42+134739.8; 0.9981; 9.7e+01; 26.9; 2.48e+09; 5.22e+08;007.25593;+13.79440
002917.41-100347.7; 1.1744; 2.5e+01; 23.4; 9.89e+08; 2.08e+08;007.32256;-10.06326
002921.48-110551.9; 1.7768; 8.3e+01; 19.9; 1.24e+09; 2.61e+08;007.33952;-11.09775
002930.07+141302.1; 1.2964; 3.4e+01; 16.3; 5.08e+08; 1.07e+08;007.37531;+14.21725
002937.58+144146.8; 1.0685; 2.2e+01; 16.2; 4.31e+08; 9.09e+07;007.40662;+14.69636
002937.62-110239.8; 1.0820; 2.9e+01; 17.9; 6.18e+08; 1.30e+08;007.40678;-11.04439
002946.53-003510.5; 1.1563; 2.2e+01; 21.0; 7.34e+08; 1.55e+08;007.44388;-00.58628
002948.04-095639.4; 1.6154; 2.0e+02; 15.1; 1.11e+09; 2.33e+08;007.45018;-09.94430
002948.35-010353.1; 0.8267; 1.7e+01; 13.9; 2.76e+08; 5.81e+07;007.45147;-01.06475
002950.77+144353.2; 0.8593; 7.2e+00; 16.2; 2.57e+08; 5.41e+07;007.46157;+14.73146
002952.79-100954.3; 1.0326; 3.5e+01; 15.2; 4.78e+08; 1.01e+08;007.46997;-10.16508
002956.51+150304.8; 1.3362; 2.7e+01; 15.7; 4.63e+08; 9.75e+07;007.48548;+15.05135
003005.05+002848.2; 1.4021; 4.6e+01; 22.8; 1.24e+09; 2.62e+08;007.52105;+00.48007
003006.03-092858.2; 1.9591; 7.1e+01; 15.8; 7.90e+08; 1.66e+08;007.52516;-09.48285
003009.39-090223.1; 1.7856; 2.6e+02; 21.5; 2.61e+09; 5.49e+08;007.53916;-09.03976
003032.58+135216.2; 1.5454; 5.4e+01; 19.8; 1.00e+09; 2.11e+08;007.63578;+13.87118
003044.54+142809.9; 1.1772; 9.7e+00; 14.8; 2.55e+08; 5.38e+07;007.68559;+14.46944
003044.88+140134.8; 1.5639; 5.4e+01; 21.3; 1.17e+09; 2.46e+08;007.68704;+14.02633
003046.43+144441.3; 1.3112; 1.6e+01; 21.5; 6.18e+08; 1.30e+08;007.69348;+14.74482
003049.20+000004.7; 1.7767; 7.3e+01; 20.1; 1.18e+09; 2.49e+08;007.70504;+00.00131
003057.42+151159.3; 1.0134; 8.0e+00; 20.7; 4.25e+08; 8.94e+07;007.73929;+15.19983
003111.32-001121.2; 1.5128; 5.4e+01; 19.1; 9.57e+08; 2.02e+08;007.79719;-00.18922
003115.52+144919.9; 1.9612; 1.5e+02; 19.9; 1.73e+09; 3.65e+08;007.81469;+14.82220
003116.88-093229.9; 1.2541; 4.1e+01; 20.9; 9.68e+08; 2.04e+08;007.82034;-09.54166
003123.83+145820.9; 1.9316; 5.1e+01; 22.7; 1.23e+09; 2.60e+08;007.84929;+14.97250
003131.11+155521.7; 1.1200; 2.2e+01; 20.0; 6.57e+08; 1.39e+08;007.87963;+15.92272
003131.44+003420.2; 1.7355; 1.2e+02; 19.5; 1.44e+09; 3.02e+08;007.88101;+00.57228
003132.09+155116.8; 1.9206; 6.6e+01; 18.6; 9.71e+08; 2.05e+08;007.88374;+15.85468
003132.90-110337.1; 1.4082; 4.3e+01; 19.6; 8.94e+08; 1.88e+08;007.88711;-11.06033
003133.59-004941.5; 1.9358; 1.0e+02; 17.9; 1.14e+09; 2.40e+08;007.88999;-00.82822
003142.16-094109.4; 1.0260; 1.9e+01; 19.7; 5.66e+08; 1.19e+08;007.92568;-09.68596
003144.93-090620.2; 0.9596; 4.8e+01; 22.2; 1.20e+09; 2.53e+08;007.93724;-09.10562
003145.78+141750.6; 1.5879; 2.5e+01; 15.6; 4.36e+08; 9.18e+07;007.94079;+14.29741
003146.07+134629.6; 1.0072; 1.5e+01; 19.5; 5.05e+08; 1.06e+08;007.94197;+13.77490
003153.83+005916.2; 1.3640; 5.6e+01; 22.5; 1.31e+09; 2.76e+08;007.97432;+00.98784
003213.25-105810.2; 1.6898; 6.8e+01; 20.0; 1.13e+09; 2.38e+08;008.05523;-10.96953
003224.34-005943.9; 1.2292; 4.8e+01; 19.5; 9.22e+08; 1.94e+08;008.10142;-00.99555
003227.65+005415.8; 1.6309; 5.6e+01; 15.1; 6.06e+08; 1.28e+08;008.11523;+00.90439
003229.39+160006.8; 1.5721; 5.6e+01; 16.6; 7.39e+08; 1.56e+08;008.12248;+16.00191
003229.80-110947.1; 1.5970; 1.6e+02; 17.8; 1.45e+09; 3.05e+08;008.12419;-11.16310
003230.38+145248.0; 1.6878; 5.1e+01; 16.9; 7.00e+08; 1.47e+08;008.12659;+14.88001
003239.32+142203.1; 0.9772; 8.3e+01; 18.1; 1.05e+09; 2.20e+08;008.16384;+14.36753
003240.58+143951.9; 1.8643; 2.8e+01; 20.6; 7.96e+08; 1.68e+08;008.16909;+14.66442
003244.88+134412.0; 1.3365; 1.8e+01; 15.0; 3.40e+08; 7.16e+07;008.18701;+13.73668
003250.88+151022.6; 1.7502; 1.6e+01; 14.2; 3.23e+08; 6.80e+07;008.21203;+15.17295
003255.57-100834.9; 1.2802; 2.9e+01; 24.9; 1.14e+09; 2.40e+08;008.23155;-10.14304
003257.33+154234.3; 0.8833; 1.3e+01; 19.2; 4.70e+08; 9.89e+07;008.23888;+15.70953
003258.55-092558.5; 0.7954; 3.9e+01; 20.7; 9.39e+08; 1.98e+08;008.24400;-09.43293
003258.90+154959.0; 0.9797; 1.6e+01; 17.2; 3.99e+08; 8.40e+07;008.24543;+15.83307
003304.31-004813.6; 1.7888; 7.5e+01; 24.0; 1.80e+09; 3.80e+08;008.26800;-00.80379
003308.00-100851.5; 1.4072; 8.1e+01; 14.9; 7.05e+08; 1.49e+08;008.28337;-10.14764
003312.25+155442.4; 1.9528; 8.3e+01; 18.6; 1.14e+09; 2.40e+08;008.30105;+15.91178
003331.03+160348.4; 1.7645; 5.9e+01; 22.1; 1.30e+09; 2.74e+08;008.37933;+16.06347
003339.82+154534.5; 1.6005; 2.9e+01; 15.4; 4.42e+08; 9.32e+07;008.41595;+15.75959
003340.21-005525.5; 0.9377; 7.7e+01; 22.7; 1.59e+09; 3.35e+08;008.41756;-00.92377
003349.47+154636.9; 1.8058; 7.6e+01; 21.5; 1.41e+09; 2.97e+08;008.45614;+15.77694
003349.86+154613.2; 1.2629; 1.5e+01; 18.6; 4.65e+08; 9.80e+07;008.45778;+15.77036
003358.19+154332.7; 1.3029; 4.0e+01; 20.3; 9.20e+08; 1.94e+08;008.49247;+15.72577
003407.35-085452.1; 1.3138; 9.8e+01; 18.0; 1.11e+09; 2.35e+08;008.53063;-08.91448
003408.01+150014.6; 0.8108; 1.1e+01; 25.5; 7.47e+08; 1.57e+08;008.53341;+15.00408
003408.15-091757.3; 1.8066; 6.8e+01; 20.5; 1.16e+09; 2.44e+08;008.53397;-09.29926
003413.04-010026.8; 1.2923; 2.5e+02; 17.6; 1.70e+09; 3.59e+08;008.55435;-01.00747
003414.19-092738.7; 1.8898; 7.8e+01; 21.3; 1.34e+09; 2.82e+08;008.55917;-09.46075
003416.60+002241.0; 1.6245; 2.7e+02; 20.3; 2.40e+09; 5.05e+08;008.56920;+00.37808
003418.16+150648.6; 1.2758; 4.3e+01; 20.8; 9.93e+08; 2.09e+08;008.57569;+15.11352
003421.52-003015.5; 1.5326; 4.9e+01; 23.1; 1.30e+09; 2.74e+08;008.58969;-00.50432
003423.06-105002.0; 1.8289; 9.4e+01; 17.5; 1.02e+09; 2.16e+08;008.59610;-10.83389
003430.49+153820.5; 1.5687; 2.7e+01; 17.7; 5.79e+08; 1.22e+08;008.62706;+15.63905
003432.77+002353.8; 1.8420; 8.1e+01; 20.4; 1.28e+09; 2.70e+08;008.63657;+00.39828
003434.20+134609.7; 0.7837; 7.7e+00; 23.7; 5.48e+08; 1.16e+08;008.64253;+13.76937
003436.84+161135.9; 0.8634; 1.3e+01; 12.9; 2.09e+08; 4.41e+07;008.65352;+16.19331
003451.86-011125.7; 1.8401; 1.6e+02; 18.2; 1.44e+09; 3.04e+08;008.71609;-01.19048
003451.94-103152.1; 0.8101; 1.5e+01; 19.1; 5.00e+08; 1.05e+08;008.71642;-10.53115
003453.75+141856.0; 1.6791; 2.2e+01; 17.5; 4.84e+08; 1.02e+08;008.72398;+14.31558
003506.75-010851.6; 1.4741; 6.0e+01; 18.1; 8.92e+08; 1.88e+08;008.77814;-01.14767
003507.42+153001.9; 1.3465; 1.7e+01; 28.0; 1.17e+09; 2.46e+08;008.78094;+15.50055
003515.18+134627.6; 1.5822; 1.7e+01; 17.2; 4.28e+08; 9.02e+07;008.81329;+13.77435
003515.29-085132.9; 1.0658; 1.7e+01; 17.2; 4.22e+08; 8.90e+07;008.81373;-08.85916
003516.88-104731.2; 0.7969; 2.0e+01; 17.6; 4.74e+08; 9.99e+07;008.82034;-10.79202
003520.91+143730.1; 1.8574; 4.4e+01; 21.9; 9.80e+08; 2.06e+08;008.83715;+14.62505
003522.55+011444.8; 1.3390; 8.2e+01; 18.4; 1.08e+09; 2.28e+08;008.84397;+01.24579
003523.94-100401.8; 1.0759; 4.4e+01; 18.2; 7.60e+08; 1.60e+08;008.84979;-10.06718
003530.27+150418.0; 0.7981; 1.1e+01; 20.8; 5.02e+08; 1.06e+08;008.87616;+15.07167
003530.39+134555.3; 1.3036; 2.3e+01; 18.8; 5.83e+08; 1.23e+08;008.87666;+13.76537
003539.93-002713.9; 1.6217; 7.2e+01; 17.6; 8.96e+08; 1.89e+08;008.91639;-00.45386
003545.13+011441.2; 1.5399; 7.8e+01; 20.4; 1.29e+09; 2.71e+08;008.93807;+01.24480
003549.87-003825.4; 1.0661; 2.8e+01;  8.1; 1.20e+08; 2.53e+07;008.95782;-00.64039
003550.66-004301.7; 1.6802; 4.0e+01; 17.5; 6.65e+08; 1.40e+08;008.96110;-00.71716
003551.50+152651.3; 1.1167; 3.6e+01; 20.0; 8.42e+08; 1.77e+08;008.96458;+15.44759
003551.98+005726.4; 1.9011; 1.0e+02; 22.6; 1.78e+09; 3.74e+08;008.96660;+00.95734
003553.03-091150.1; 1.0044; 2.0e+01; 14.5; 3.21e+08; 6.76e+07;008.97098;-09.19727
003555.51+155318.0; 1.1628; 2.0e+02; 15.5; 1.21e+09; 2.56e+08;008.98132;+15.88833
003556.72+151553.9; 0.9794; 4.2e+01; 15.6; 5.55e+08; 1.17e+08;008.98634;+15.26497
003557.60-005309.8; 1.5365; 6.0e+01; 12.8; 4.46e+08; 9.41e+07;008.99001;-00.88606
003606.12+152125.6; 0.7835; 6.0e+00; 23.6; 4.76e+08; 1.00e+08;009.02551;+15.35713
003606.85-093229.1; 1.1885; 3.3e+01; 20.4; 8.35e+08; 1.76e+08;009.02857;-09.54142
003609.43-095908.2; 1.7110; 5.8e+01; 20.6; 1.08e+09; 2.27e+08;009.03933;-09.98564
003610.31-091742.6; 1.2027; 2.9e+01; 22.1; 9.19e+08; 1.94e+08;009.04299;-09.29519
003611.26-103737.5; 1.6710; 1.4e+02; 21.7; 1.98e+09; 4.18e+08;009.04693;-10.62708
003613.38-003102.9; 1.6379; 6.2e+01; 18.1; 9.36e+08; 1.97e+08;009.05577;-00.51749
003626.10-090014.2; 0.9507; 5.5e+01; 17.7; 8.07e+08; 1.70e+08;009.10878;-09.00395
003628.65+135323.5; 1.4014; 3.2e+01; 15.0; 4.48e+08; 9.43e+07;009.11940;+13.88988
003632.75+134222.0; 1.2501; 3.9e+01; 21.7; 1.04e+09; 2.19e+08;009.13647;+13.70614
003633.69+143546.2; 1.0126; 3.6e+01; 20.6; 8.79e+08; 1.85e+08;009.14041;+14.59619
003637.31+151632.9; 0.8448; 1.2e+01; 17.6; 3.65e+08; 7.70e+07;009.15547;+15.27582
003638.07+150244.4; 0.8930; 9.8e+00; 20.2; 4.33e+08; 9.12e+07;009.15866;+15.04569
003642.81-000140.0; 1.1991; 2.6e+01; 25.8; 1.20e+09; 2.53e+08;009.17840;-00.02780
003647.12-101539.5; 1.3768; 7.3e+01; 20.4; 1.23e+09; 2.60e+08;009.19635;-10.26098
003649.61-110929.7; 1.5113; 8.6e+01; 19.5; 1.26e+09; 2.65e+08;009.20674;-11.15826
003649.74+144511.7; 1.6379; 1.6e+01; 18.3; 4.91e+08; 1.03e+08;009.20729;+14.75326
003654.46-102542.1; 1.0589; 5.1e+01; 28.6; 2.06e+09; 4.33e+08;009.22692;-10.42839
003656.80+160113.1; 1.7543; 1.3e+02; 15.0; 8.99e+08; 1.89e+08;009.23667;+16.02032
003657.27+140547.7; 1.8906; 4.8e+01; 20.1; 1.02e+09; 2.16e+08;009.23863;+14.09659
003703.16-090543.7; 1.2109; 8.0e+01; 16.6; 8.70e+08; 1.83e+08;009.26318;-09.09548
003714.82-004554.0; 1.0203; 6.3e+01; 17.1; 8.03e+08; 1.69e+08;009.31177;-00.76502
003718.86+143221.9; 0.7975; 2.4e+01; 24.5; 1.03e+09; 2.17e+08;009.32860;+14.53943
003720.29-110023.9; 1.5757; 1.0e+02; 16.5; 9.92e+08; 2.09e+08;009.33457;-11.00666
003722.17-001140.6; 1.3648; 4.6e+01; 18.1; 7.72e+08; 1.63e+08;009.34241;-00.19462
003724.78+001103.5; 1.5353; 6.5e+01; 18.6; 9.71e+08; 2.05e+08;009.35329;+00.18431
003728.23+134856.1; 1.2279; 1.9e+01; 18.0; 4.93e+08; 1.04e+08;009.36763;+13.81559
003740.12-090810.0; 0.8471; 3.5e+01; 15.1; 4.65e+08; 9.80e+07;009.41721;-09.13612
003745.09-005527.1; 1.6241; 8.8e+01; 21.5; 1.54e+09; 3.25e+08;009.43790;-00.92420
003750.00+154624.7; 1.3363; 1.3e+01; 25.6; 8.56e+08; 1.80e+08;009.45835;+15.77353
003756.61-004931.0; 0.9310; 2.4e+01; 34.4; 2.08e+09; 4.38e+08;009.48588;-00.82529
003756.70-093236.1; 1.3257; 2.4e+01; 16.2; 4.49e+08; 9.45e+07;009.48627;-09.54338
003757.22-105208.6; 0.9721; 2.2e+01; 17.6; 5.03e+08; 1.06e+08;009.48843;-10.86906
003758.31-092342.7; 1.4725; 1.9e+02; 19.0; 1.74e+09; 3.67e+08;009.49299;-09.39520
003804.86+152402.9; 1.1975; 1.5e+01; 16.5; 3.65e+08; 7.70e+07;009.52026;+15.40082
003808.67+144952.7; 1.1906; 1.8e+01; 20.6; 6.41e+08; 1.35e+08;009.53615;+14.83131
003811.77+143232.8; 0.9893; 1.9e+01; 18.6; 5.22e+08; 1.10e+08;009.54908;+14.54245
003816.84-092531.9; 1.0881; 4.0e+01; 16.2; 5.83e+08; 1.23e+08;009.57019;-09.42554
003817.50+155721.0; 1.4176; 2.5e+01; 14.6; 3.85e+08; 8.10e+07;009.57294;+15.95585
003823.48+154717.2; 1.9094; 3.1e+01; 17.2; 6.27e+08; 1.32e+08;009.59784;+15.78811
003823.81-000025.0; 1.6051; 1.5e+02; 15.9; 1.11e+09; 2.33e+08;009.59923;-00.00697
